word,count_0,weight_0,count_1,weight_1,count_2,weight_2,count_3,weight_3,total,total-weight
build,2,0.097,4,0.195,2,0.142,0,"",8,""
scala.,2,0.097,3,0.146,0,"",3,0.274,8,""
architecture,3,0.145,1,0.048,4,0.284,0,"",8,""
run,4,0.194,2,0.097,2,0.142,0,"",8,""
perform,0,"",5,0.244,1,0.071,2,0.182,8,""
extensively,2,0.097,3,0.146,3,0.213,0,"",8,""
parquet,3,0.145,3,0.146,1,0.071,1,0.091,8,0.687
kibana,0,"",3,0.146,3,0.213,2,0.182,8,""
plsql,0,"",6,0.293,2,0.142,0,"",8,""
loaded,2,0.097,2,0.097,4,0.284,0,"",8,""
hive.,3,0.145,1,0.048,2,0.142,1,0.091,7,0.646
production,2,0.097,4,0.195,1,0.071,0,"",7,""
requirements,0,"",4,0.195,3,0.213,0,"",7,""
zeppelin,6,0.291,0,"",1,0.071,0,"",7,""
apple,7,0.340,0,"",0,"",0,"",7,""
programming,0,"",4,0.195,1,0.071,2,0.182,7,""
cdh,2,0.097,4,0.195,1,0.071,0,"",7,""
handled,1,0.048,2,0.097,0,"",4,0.365,7,""
mongodb,5,0.243,1,0.048,1,0.071,0,"",7,""
xml,1,0.048,4,0.195,0,"",2,0.182,7,""
actions,0,"",4,0.195,2,0.142,1,0.091,7,""
bucketing,2,0.097,1,0.048,2,0.142,2,0.182,7,0.711
built,4,0.194,0,"",2,0.142,1,0.091,7,""
file,1,0.048,4,0.195,1,0.071,1,0.091,7,0.614
analysis.,3,0.145,3,0.146,1,0.071,0,"",7,""
unstructured,1,0.048,4,0.195,2,0.142,0,"",7,""
processes,2,0.097,2,0.097,3,0.213,0,"",7,""
service,1,0.048,1,0.048,5,0.355,0,"",7,""
solr,0,"",4,0.195,2,0.142,1,0.091,7,""
professional,2,0.097,2,0.097,2,0.142,1,0.091,7,0.647
avro,1,0.048,2,0.097,1,0.071,3,0.274,7,0.743
engineering,0,"",1,0.048,3,0.213,3,0.274,7,""
transformation,1,0.048,2,0.097,3,0.213,1,0.091,7,0.681
working,3,0.145,1,0.048,2,0.142,1,0.091,7,0.646
advanced,2,0.097,2,0.097,2,0.142,1,0.091,7,0.647
optimization,3,0.145,1,0.048,3,0.213,0,"",7,""
functions,2,0.097,1,0.048,1,0.071,3,0.274,7,0.743
google,1,0.048,0,"",6,0.427,0,"",7,""
customer,1,0.048,2,0.097,2,0.142,1,0.091,6,0.573
handson,1,0.048,1,0.048,1,0.071,3,0.274,6,0.668
informatica,2,0.097,3,0.146,1,0.071,0,"",6,""
workflow,4,0.194,2,0.097,0,"",0,"",6,""
administration,2,0.097,3,0.146,1,0.071,0,"",6,""
relational,1,0.048,1,0.048,2,0.142,2,0.182,6,0.637
setting,2,0.097,3,0.146,1,0.071,0,"",6,""
manager,2,0.097,1,0.048,0,"",3,0.274,6,""
job,2,0.097,1,0.048,1,0.071,2,0.182,6,0.603
managed,4,0.194,0,"",0,"",2,0.182,6,""
configuration,2,0.097,3,0.146,1,0.071,0,"",6,""
science,1,0.048,0,"",4,0.284,1,0.091,6,""
reports,5,0.243,1,0.048,0,"",0,"",6,""
implementation,3,0.145,2,0.097,1,0.071,0,"",6,""
jobs.,1,0.048,2,0.097,3,0.213,0,"",6,""
high,2,0.097,1,0.048,1,0.071,2,0.182,6,0.603
warehouse,2,0.097,0,"",2,0.142,2,0.182,6,""
ecosystem,2,0.097,1,0.048,1,0.071,2,0.182,6,0.603
closely,1,0.048,3,0.146,2,0.142,0,"",6,""
stored,1,0.048,4,0.195,1,0.071,0,"",6,""
setup,0,"",1,0.048,2,0.142,3,0.274,6,""
mvc,0,"",5,0.244,1,0.071,0,"",6,""
automate,3,0.145,2,0.097,0,"",1,0.091,6,""
bi,3,0.145,3,0.146,0,"",0,"",6,""
script,4,0.194,1,0.048,1,0.071,0,"",6,""
implementing,1,0.048,3,0.146,2,0.142,0,"",6,""
maven,0,"",5,0.244,1,0.071,0,"",6,""
running,1,0.048,4,0.195,1,0.071,0,"",6,""
kinesis,0,"",0,"",3,0.213,3,0.274,6,""
platform,3,0.145,2,0.097,1,0.071,0,"",6,""
impala,2,0.097,3,0.146,1,0.071,0,"",6,""
designing,1,0.048,4,0.195,1,0.071,0,"",6,""
external,3,0.145,3,0.146,0,"",0,"",6,""
test,6,0.291,0,"",0,"",0,"",6,""
multiple,4,0.194,1,0.048,0,"",1,0.091,6,""
bucket,3,0.145,1,0.048,0,"",2,0.182,6,""
quality,3,0.145,1,0.048,1,0.071,1,0.091,6,0.538
storage,3,0.145,0,"",1,0.071,2,0.182,6,""
standards,1,0.048,3,0.146,0,"",1,0.091,5,""
distributions,0,"",1,0.048,1,0.071,3,0.274,5,""
ssis,4,0.194,1,0.048,0,"",0,"",5,""
2016,2,0.097,2,0.097,1,0.071,0,"",5,""
complex,4,0.194,1,0.048,0,"",0,"",5,""
2012,3,0.145,2,0.097,0,"",0,"",5,""
azure,1,0.048,2,0.097,2,0.142,0,"",5,""
university,1,0.048,1,0.048,3,0.213,0,"",5,""
nosql,1,0.048,0,"",3,0.213,1,0.091,5,""
