blms_id,blms_parcel,blms_loc_no,blms_loc_street,blms_dba,bldt_lic_text2,bldt_lic_text3,bldt_lic_text6,bldt_lic_text7,xcoord,ycoord,geom
10906,136378019,1996,PARK ST,BRAZIL GRILL & PIZZA,FOOD - CLASS 4,RESTAURANT,SEATING CAPACITY 40,,1010366,836365,"(41.756470914234, -72.712008559325)"
17269,245340100,185,ASYLUM ST,EUREST DBA PURE CAFE,FOOD - CLASS 4,,DESG ALT = PATTI OUELLETTE,,1020054,840082,"(41.766654242485, -72.676490416085)"
17532,231655014,10,WHITE ST,CITY FOOD LAND LLC,FOOD - CLASS 1,,,,1017331,829154,"(41.736670627631, -72.686501227627)"
11087,316694007,110,BRAINARD RD,MERCURY #42 BRAINARD ROAD,FOOD - CLASS 2,CONVENIENCE,,,1024733,829401,"(41.737330352903, -72.659380227029)"
10727,188743178,229,WHITE ST,THE NUTSHELL CAFE,FOOD - CLASS 4,CAFE',SEATING CAPACITY  75,LIQUOR,1014614,828335,"(41.734428099491, -72.69645785722)"
10302,252671024,339,FRANKLIN AV,MARDI GRAS CAFE INC.,FOOD - CLASS 2,CAFE',SEATING CAPACITY 2,LIQUOR,1020128,830655,"(41.740783715232, -72.676248655288)"
15613,205542117,601,PARK ST,SABOR DOMINICANO,FOOD - CLASS 4,,,,1017224,835576,"(41.754294663872, -72.68687607507)"
15627,205542117,1122,BROAD ST,DEL RIO GROCERY,FOOD - CLASS 1,GROCERY,,,1017224,835576,"(41.754294663872, -72.68687607507)"
10143,169014056,671,BLUE HILLS AV,MR. PIZZA,FOOD - CLASS 4,RESTAURANT,,,1014774,854285,"(41.805641690594, -72.695812035607)"
13481,186623058,418,NEW BRITAIN AV,MANALIFE,FOOD - CLASS 2,,,,1014540,830365,"(41.739999141884, -72.696724389178)"
11157,203428200,539,BROAD ST,"FIREBOX, LLC",FOOD - CLASS 4,FOOD SERVICE,QFO = CHRISTOPHER LARSON,QFO = EDWARD JONES,1016988,838272,"(41.761693713136, -72.68773386786)"
14186,198216158,717,ALBANY AV,HOT CORNER MARKET,FOOD - CLASS 3,,,,1016722,844486,"(41.778747142194, -72.68869267752)"
10583,134379050,243,SOUTH WHITNEY ST,DAY-BREAK AT HARTFORD,FOOD - CLASS 4,SENIOR CENTER,SEATING CAPACITY 90,,1010689,839459,"(41.764961316738, -72.710819621325)"
10126,125001001,200,BLOOMFIELD AV,COMMONS CAFETERIA,FOOD - CLASS 4,CAFETERIA,SEATING CAPACITY 450,,1009980,850173,"(41.794364237674, -72.71340181704)"
10706,274678024,375,WETHERSFIELD AV,LAS PALMAS RESTAURANT,FOOD - CLASS 4,,,,1020870,832425,"(41.745639338283, -72.6735241428)"
10561,136381098,1916,PARK ST,LA ESTRELLA BAKERY,FOOD - CLASS 3,BAKERY,,,1010757,836416,"(41.756610391666, -72.710575457788)"
15814,176198128,1093,ALBANY AV,TERRACE CAFE,FOOD - CLASS 2,,SEATING CAPACITY = 45,LIQUOR,1015075,845437,"(41.781359987752, -72.694728787877)"
11014,284074077,3250,MAIN ST,DUNKIN DONUTS,FOOD - CLASS 3,DONUT SHOP,,,1023778,850691,"(41.79575863777, -72.66280055353)"
16064,204422136,760,PARK ST,G & C GROCERY LLC,FOOD - CLASS 1,,,,1016460,837072,"(41.758401606486, -72.689672216568)"
10431,283068062,3381,MAIN ST,SCOTT'S JAMAICAN BAKERY,FOOD - CLASS 4,BAKERY,,,1023685,851371,"(41.797624986886, -72.663139099718)"
15169,159486083,1405,PARK ST,LA CASITA DEL SABOR LLC,FOOD - CLASS 4,RESTAURANT,,,1013194,836808,"(41.757682752636, -72.701643019109)"
10692,227542083,265,WASHINGTON ST,DUNKIN' DONUTS,FOOD - CLASS 3,DONUT SHOP,SEATING CAPACITY 14,,1018236,835536,"(41.754182803509, -72.683167329672)"
11089,207646106,1786,BROAD ST,LAS GARZAS,FOOD - CLASS 4,RESTAURANT,SEATING CAPACITY 20,,1017189,832096,"(41.744744619103, -72.687013642046)"
10676,226539121,161,WASHINGTON ST,WALGREENS #3827,FOOD - CLASS 1,PHARMACY,,,1018300,836815,"(41.75769260377, -72.682929139943)"
10678,226549135,170,WASHINGTON ST,MCDONALD'S RESTAURANT,FOOD - CLASS 3,RESTAURANT,SEATING CAPACITY 3,,1018529,836655,"(41.757253028023, -72.68209029839)"
10491,143703022,861,NEW BRITAIN AV,EMPIRE PIZZA,FOOD - CLASS 3,RESTAURANT,SEATING CAPACITY 2,LIQUOR,1010302,827373,"(41.731794336046, -72.71225751346)"
14245,135373028,1048,CAPITOL AV,VILLA BRAVA GROCERY,FOOD - CLASS 2,,,,1010377,837764,"(41.760310148926, -72.711965987551)"
16209,230660177,736,MAPLE AV,JERRY'S MEAT & GROCERIES,FOOD - CLASS 2,,,,1017962,830288,"(41.739781360616, -72.684186154308)"
10421,262128114,2756,MAIN ST,SISTERS RESTAURANT INC,FOOD - CLASS 4,RESTAURANT,SEATING CAPACITY 32,,1022081,848902,"(41.79085369587, -72.669029991066)"
17829,243280003,177,ALBANY AV,SAN PEDRO GROCERY LLC,FOOD - CLASS 3,,,,1019157,843270,"(41.775405027405, -72.679768943474)"
10590,112366012,468,PROSPECT AV,SPIGOT CAFE INC.,FOOD - CLASS 2,CAFE',SEATING CAPACITY 60,LIQUOR,1009483,838009,"(41.760983531095, -72.715242334246)"
10820,165725084,635,NEW BRITAIN AV,COYOTE FLACO,FOOD - CLASS 4,RESTAURANT,SEATING CAPACITY 42,LIQUOR,1013066,828055,"(41.73366218909, -72.702129919386)"
10003,276690149,70,AIRPORT RD,BURGER KING #895,FOOD - CLASS 3,RESTAURANT,SEATING CAPACITY 2,,1022358,829749,"(41.738291873752, -72.668080827168)"
10320,253802268,464,FRANKLIN AV,FRANKLIN GIANT SANDWICH,FOOD - CLASS 4,RESTAURANT,SEATING CAPACITY 74,LIQUOR,1020480,829162,"(41.736685654654, -72.674963637375)"
10324,254801202,535,FRANKLIN AV,ARBER CAFE,FOOD - CLASS 3,CAFE',,,1020441,828213,"(41.734081411475, -72.675109543182)"
17828,175197065,1170,ALBANY AV,GOLDEN KRUST CARIBBEAN BAKERY & GRILL,FOOD - CLASS 4,,,,1014759,845767,"(41.782266143859, -72.695886617233)"
13302,202428090,365,CAPITOL AV,DUNKIN DONUTS/CAPITOL AVE DONUTS,FOOD - CLASS 3,,,,1016999,839013,"(41.763727201204, -72.687691590028)"
16711,177255077,180,ASHLEY ST,J & V MARKET,FOOD - CLASS 3,,,,1014998,843204,"(41.775232174477, -72.6950163119)"
17518,251667002,249,FRANKLIN AV,FRANK'S MARKET,FOOD - CLASS 1,,,,1019975,831800,"(41.743926284741, -72.676805711272)"
11067,316694007,110,BRAINARD RD,DUNKIN DONUTS,FOOD - CLASS 3,DONUT SHOP,,,1024733,829401,"(41.737330352903, -72.659380227029)"
13515,137481080,72,NEW PARK AV,NEW PARK PIZZA CT,FOOD - CLASS 4,,,,1011707,835867,"(41.755102539105, -72.707094694973)"
15568,245339097,253,ASYLUM ST,LAETUS RESTAURANT AND LOUNGE,FOOD - CLASS 4,,QFO = ROLAND KELSEY,,1019711,840308,"(41.767275242886, -72.677747017369)"
14441,170028170,618,BLUE HILLS AV,COUNTRY PANTRY LLC,FOOD - CLASS 1,,,,1015014,853625,"(41.803830070284, -72.694933308884)"
11051,193049057,131,COVENTRY ST,ARROW PRESCRIPTION CENTER #13,FOOD - CLASS 1,PHARMACY,,,1016131,852363,"(41.800364800175, -72.690839669539)"
13526,268350014,942,MAIN ST,PIETROS PIZZA II,FOOD - CLASS 4,RESTAURANT,,,1021044,840509,"(41.767823679494, -72.672860094432)"
10941,245338094,1,CIVIC CENTER PLAZA,STAND 5,FOOD - CLASS 4,SNACK BAR,SEATING CAPACITY 15000,LIQUOR,1020084,840394,"(41.767510385961, -72.676379474519)"
