word,count
exception,1
hands,9
liberall,3
desperate,5
grones,1
allowed,2
faiery,1
turfe,1
faire,20
bloudie,1
kites,1
counsellor,1
vnholy,1
empire,1
absent,1
silence,5
because,1
springes,1
spight,1
pitious,1
timbred,1
leaps,1
packet,1
dyes,3
ragges,1
stop,4
orchard,2
conception,1
guest,2
folded,1
yorick,1
sonne,20
beware,2
vngracious,1
gauntlets,1
least,3
remorselesse,1
speakes,3
deepely,1
immediately,1
returne,5
twaine,2
vnite,1
coniure,2
sanitie,1
outragious,1
accidentall,1
coozenage,1
brands,1
slay,1
stung,1
neck,1
forraigne,1
newes,11
normandy,1
sayest,1
knaue,5
iudgements,2
sweet,22
damnation,1
notes,1
eager,1
diuel,2
repast,1
faine,3
spring,3
betime,1
quillets,1
whats,1
afarre,1
remedie,1
serpent,2
female,1
iohn,1
surrender,1
minister,1
need,1
maiesticall,2
wrote,2
often,2
blazes,1
gather,3
els,2
drugges,1
doest,1
volume,1
cocke,5
loose,5
leaue,27
loathsome,1
crawling,1
hardly,1
lasting,2
thorny,1
rises,2
damon,1
historicall,3
perturbed,1
yeeld,1
kicke,1
liest,2
faile,1
sleeping,4
gates,1
calamity,1
scul,1
end,17
lines,3
ene,5
vow,2
forty,1
mistake,1
ioynt,2
panders,1
vnion,2
dugge,1
rich,3
damne,1
pesant,2
spleenatiue,1
praise,3
ouerthrowne,1
noted,1
ioyne,2
scholler,1
vouch,1
forgeries,1
sweat,2
pronounce,1
deliberate,1
swear,1
winking,1
slightly,2
foiles,1
skinnes,2
deuoutly,1
told,5
aeneas,1
springs,1
compost,1
queene,39
matine,1
hower,3
turne,4
pagan,1
priuates,1
narrow,1
leasure,1
stubbornnesse,1
stye,1
harlot,1
soldiours,1
recouer,3
shape,6
nay,26
forth,5
quarry,1
weapons,1
euill,2
mistris,3
tong,1
wooes,1
against,20
loggets,1
vse,13
chariest,1
cell,1
vapours,1
weake,2
assur,2
tormenting,1
browes,1
pastors,1
rights,1
ere,15
share,1
truncheons,1
coronation,1
shark,1
obstinate,1
womens,1
weighing,1
diddest,1
chaplesse,1
dawning,1
strongest,1
shortens,1
francisco,2
flies,1
shake,3
breakes,1
honor,7
winnowed,1
screen,1
naked,2
milkie,1
discouery,1
obseruance,2
entrance,1
gouerne,1
nasty,1
new,4
below,2
musty,1
estate,3
shall,107
shalt,5
turke,1
deuices,1
belou,1
shame,7
toyle,1
forgiuenesse,1
trick,1
euermore,1
nephewes,2
grunt,1
spies,1
dreame,5
define,1
whispers,1
tokens,1
render,1
funerall,3
gibbe,1
shrow,1
receiues,1
vertues,1
drawes,2
enurn,1
chopfalne,1
plots,2
forme,12
honestie,4
tride,1
calles,1
moity,1
whisper,1
appetite,1
borrowing,1
ioyes,2
braue,3
remainder,1
galls,2
ring,4
shift,1
ioue,2
nero,1
incontinencie,1
carowses,1
couch,2
stayes,1
shoote,2
companies,1
wittenberg,3
gins,1
builds,2
nere,1
remorse,1
shoulder,1
imminent,1
cherube,1
withers,1
remain,1
patches,1
modell,1
amaze,1
countries,2
importun,1
confound,2
eye,14
argues,1
slow,2
entreatments,1
recount,1
treble,1
rotten,2
flash,1
brooke,2
farre,12
herod,1
another,8
wildenesse,1
enemy,2
obeyes,1
gray,1
gyant,1
ripe,1
vnyoake,1
affliction,3
cheere,2
triumph,1
wormes,2
wandring,1
stalkes,1
pollonius,1
meerely,2
prodigall,2
builde,1
satyricall,1
palpable,1
danskers,1
such,52
plautus,1
remaine,1
absolute,1
chaunted,1
sweaty,1
neere,9
suck,2
countenance,5
presently,5
dreadfull,3
erring,1
froward,1
attractiue,1
exployt,1
didst,1
heereafter,1
forgetting,1
white,4
sounded,1
ayde,1
royall,3
houses,2
briefe,2
huge,1
seeming,4
imagine,1
town,1
might,30
leade,1
designe,1
distilment,1
lanke,1
surmise,1
feele,1
ignorance,3
trumpet,4
leads,1
diuell,4
porpentine,1
trifle,1
vniuersity,1
next,4
crocodile,1
giue,59
color,1
wringing,1
lyes,2
sweare,9
neptunes,1
sorrowes,1
non,1
perfume,1
vntill,1
nor,32
button,1
not,300
doomesday,2
impartment,1
now,92
vacancie,1
wag,3
poore,20
rite,1
thoughts,17
pinch,1
election,3
aloofe,2
foredoes,1
complexion,2
lawlesse,1
was,84
grained,1
greet,1
grew,1
way,11
necessaries,1
wax,1
what,211
summons,1
fortified,1
breake,9
israel,1
seruices,1
window,1
rise,2
flame,2
paiocke,1
play,43
melancholly,2
fought,1
quickly,1
dipping,1
fac,1
maiesty,8
when,51
cheefest,1
volly,1
possitiuely,1
allegeance,1
stuck,1
fat,6
capons,1
catch,2
vnwholsome,1
treason,5
pawse,1
brooch,1
vnnerued,1
farme,1
depends,2
double,6
plac,2
coniuration,1
horrid,2
lofty,1
lowest,1
vnhatch,1
ladies,4
moones,1
bastard,1
study,1
encombred,1
liege,3
greekes,1
direct,4
feede,2
riuals,1
switzers,1
gain,1
raines,1
fancie,1
wee,20
wed,3
tother,1
penetrable,1
burnes,2
changeling,1
wel,2
circumuent,1
reuenge,11
dishes,1
heres,1
great,19
wrong,8
crust,1
befitted,1
villaine,11
shirt,1
wanton,3
proceeded,1
songs,2
whet,1
rage,3
behold,1
stockings,1
sides,3
heads,1
tertia,1
looke,31
whil,3
hoodman,1
fed,1
arrest,1
artlesse,1
fee,2
secundus,1
whit,1
constantly,1
lookt,2
whale,2
pyrate,1
innouation,1
threaten,1
few,3
whiles,1
fey,1
iigge,2
perceiue,1
leane,1
otherwise,3
murthered,1
borne,8
repugnant,1
rais,1
pleasing,1
voyage,2
effects,3
indifferent,3
murtherer,1
effect,6
keep,1
hung,1
quarelling,1
forrest,1
windes,2
darkest,1
who,42
weigh,3
processe,3
wondrous,2
why,60
faith,12
died,1
denies,1
fares,2
doubtfull,2
lawes,1
drinke,14
alone,10
damned,6
along,3
wig,1
hermony,1
rocke,1
diet,2
wil,4
dies,1
win,2
ophel,2
lawyer,1
breach,1
maiesties,2
wit,4
maiestie,7
wisenesse,1
gall,3
vnequall,1
herbe,1
termagant,1
matters,3
tweene,1
antike,1
paconcies,1
traitorous,1
visit,4
continuall,1
ayme,1
dido,1
scratcht,1
extent,1
rant,1
fie,5
sables,1
greeting,1
bring,12
fond,2
camell,2
fit,12
pangs,1
hush,1
bedrid,1
honest,11
deiected,1
poysoning,1
rank,1
speechlesse,1
addition,1
neglect,1
doubts,1
grow,7
sure,7
ah,2
doores,2
proceeding,1
al,1
am,52
dreaded,1
an,53
formes,3
former,2
findes,2
captaines,1
rossius,1
fold,1
ar,1
as,205
foolery,1
at,81
mutine,1
yonder,1
nothings,1
peace,10
souldiers,1
mountaine,3
grop,1
brother,7
ouercome,1
porches,1
hurt,2
be,192
clownes,2
whor,1
labourer,1
ayre,12
conueyances,1
becke,1
ayry,1
search,1
fool,1
oddes,3
by,107
